"","country.code","country.x","refugees","country.y","population","pop.million","country","refugees.per.million.pop"
"162","TZA","United Rep. of Tanzania",211845,"Tanzania",53879957,53.879957,"United Rep. of Tanzania",3932
"163","UGA","Uganda",477187,"Uganda",40144870,40.14487,"Uganda",11887
"164","UKR","Ukraine",3273,"Ukraine",45154029,45.154029,"Ukraine",72
"165","URY","Uruguay",301,"Uruguay",3431552,3.431552,"Uruguay",88
"166","USA","United States of America",273202,"United States",321039839,321.039839,"United States of America",851
"167","UZB","Uzbekistan",107,"Uzbekistan",31298900,31.2989,"Uzbekistan",3
"168","VEN","Venezuela (Bolivarian Republic of)",173754,"Venezuela, RB",31155134,31.155134,"Venezuela (Bolivarian Republic of)",5577
"169","VNM","Viet Nam",0,"Vietnam",93571567,93.571567,"Viet Nam",0
"170","VUT","Vanuatu",0,"Vanuatu",264603,0.264603,"Vanuatu",0
"171","WSM","Samoa",0,"Samoa",193759,0.193759,"Samoa",0
"172","YEM","Yemen",267173,"Yemen, Rep.",26916207,26.916207,"Yemen",9926
"173","ZAF","South Africa",121645,"South Africa",55291225,55.291225,"South Africa",2200
"174","ZMB","Zambia",26447,"Zambia",16100587,16.100587,"Zambia",1643
"175","ZWE","Zimbabwe",6950,"Zimbabwe",15777451,15.777451,"Zimbabwe",441
