"","country.code","country.x","refugees","country.y","population","pop.million","refugees.per.million.pop","country"
"128","PNG","Papua New Guinea",9510,"Papua New Guinea",7919825,7.919825,1201,"Papua New Guinea"
"129","POL","Poland",14065,"Poland",37986412,37.986412,370,"Poland"
"130","PRK","Dem. People's Rep. of Korea",0,"Korea, Dem. People’s Rep.",25243917,25.243917,0,"Dem. People's Rep. of Korea"
"131","PRY","Paraguay",172,"Paraguay",6639119,6.639119,26,"Paraguay"
"132","QAT","Qatar",120,"Qatar",2481539,2.481539,48,"Qatar"
"133","ROU","Romania",2598,"Romania",19815481,19.815481,131,"Romania"
"134","RUS","Russian Federation",314507,"Russian Federation",144096870,144.09687,2183,"Russian Federation"
"135","RWA","Rwanda",144737,"Rwanda",11629553,11.629553,12446,"Rwanda"
"136","SAU","Saudi Arabia",125,"Saudi Arabia",31557144,31.557144,4,"Saudi Arabia"
"137","SDN","Sudan",309639,"Sudan",38647803,38.647803,8012,"Sudan"
"138","SEN","Senegal",14392,"Senegal",14976994,14.976994,961,"Senegal"
"139","SGP","Singapore",0,"Singapore",5535002,5.535002,0,"Singapore"
"140","SLB","Solomon Islands",3,"Solomon Islands",587482,0.587482,5,"Solomon Islands"
"141","SLE","Sierra Leone",760,"Sierra Leone",7237025,7.237025,105,"Sierra Leone"
"142","SLV","El Salvador",48,"El Salvador",6312478,6.312478,8,"El Salvador"
"143","SOM","Somalia",8081,"Somalia",13908129,13.908129,581,"Somalia"
"144","SRB","Serbia and Kosovo (S/RES/1244 (1999))",35332,"Serbia",7095383,7.095383,4980,"Serbia and Kosovo (S/RES/1244 (1999))"
"145","SSD","South Sudan",263016,"South Sudan",11882136,11.882136,22135,"South Sudan"
"146","SUR","Suriname",1,"Suriname",553208,0.553208,2,"Suriname"
"147","SVK","Slovakia",820,"Slovak Republic",5423801,5.423801,151,"Slovakia"
"148","SVN","Slovenia",292,"Slovenia",2063531,2.063531,142,"Slovenia"
"149","SWE","Sweden",169520,"Sweden",9799186,9.799186,17299,"Sweden"
"150","SWZ","Swaziland",696,"Eswatini",1319011,1.319011,528,"Swaziland"
"151","SXM","Sint Maarten (Dutch part)",3,"Sint Maarten (Dutch part)",38824,0.038824,77,"Sint Maarten (Dutch part)"
"152","SYR","Syrian Arab Rep.",21113,"Syrian Arab Republic",18734987,18.734987,1127,"Syrian Arab Rep."
"153","TCA","Turks and Caicos Islands",4,"Turks and Caicos Islands",34339,0.034339,116,"Turks and Caicos Islands"
"154","TCD","Chad",369540,"Chad",14009413,14.009413,26378,"Chad"
"155","TGO","Togo",21953,"Togo",7416802,7.416802,2960,"Togo"
"156","THA","Thailand",108261,"Thailand",68657600,68.6576,1577,"Thailand"
"157","TJK","Tajikistan",1969,"Tajikistan",8548651,8.548651,230,"Tajikistan"
"158","TKM","Turkmenistan",26,"Turkmenistan",5565284,5.565284,5,"Turkmenistan"
"159","TTO","Trinidad and Tobago",113,"Trinidad and Tobago",1360092,1.360092,83,"Trinidad and Tobago"
"160","TUN","Tunisia",665,"Tunisia",11273661,11.273661,59,"Tunisia"
"161","TUR","Turkey",2541352,"Turkey",78271472,78.271472,32468,"Turkey"
"162","TZA","United Rep. of Tanzania",211845,"Tanzania",53879957,53.879957,3932,"United Rep. of Tanzania"
"163","UGA","Uganda",477187,"Uganda",40144870,40.14487,11887,"Uganda"
"164","UKR","Ukraine",3273,"Ukraine",45154029,45.154029,72,"Ukraine"
"165","URY","Uruguay",301,"Uruguay",3431552,3.431552,88,"Uruguay"
"166","USA","United States of America",273202,"United States",321039839,321.039839,851,"United States of America"
"167","UZB","Uzbekistan",107,"Uzbekistan",31298900,31.2989,3,"Uzbekistan"
"168","VEN","Venezuela (Bolivarian Republic of)",173754,"Venezuela, RB",31155134,31.155134,5577,"Venezuela (Bolivarian Republic of)"
"169","VNM","Viet Nam",0,"Vietnam",93571567,93.571567,0,"Viet Nam"
"170","VUT","Vanuatu",0,"Vanuatu",264603,0.264603,0,"Vanuatu"
"171","WSM","Samoa",0,"Samoa",193759,0.193759,0,"Samoa"
"172","YEM","Yemen",267173,"Yemen, Rep.",26916207,26.916207,9926,"Yemen"
"173","ZAF","South Africa",121645,"South Africa",55291225,55.291225,2200,"South Africa"
"174","ZMB","Zambia",26447,"Zambia",16100587,16.100587,1643,"Zambia"
"175","ZWE","Zimbabwe",6950,"Zimbabwe",15777451,15.777451,441,"Zimbabwe"
