,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,asylum_seekers,country_code,country_x,asylum_seekers_pct_pop,country_y,asylum_seekers_pct_pop_resid,country
156,156,156,156,160,17.0,MKD,"Macedonia, FYR",0.0008175796947830719,"Macedonia, FYR",-0.005664699072345025,"Macedonia, FYR"
157,157,157,157,161,0.0,TLS,Timor-Leste,0.0,Timor-Leste,-0.006446198491193572,Timor-Leste
158,158,158,158,162,752.0,TGO,Togo,0.01013914083185718,Togo,0.004225468636457242,Togo
159,159,159,159,163,82.0,TTO,Trinidad and Tobago,0.006029003920323036,Trinidad and Tobago,-0.015897949531917116,Trinidad and Tobago
160,160,160,160,164,90.0,TUN,Tunisia,0.0007983209713330922,Tunisia,-0.005869047351726405,Tunisia
161,161,161,161,165,212408.0,TUR,Turkey,0.2713734577522702,Turkey,0.2632191232679794,Turkey
162,162,162,162,166,0.0,TKM,Turkmenistan,0.0,Turkmenistan,-0.0062130411884647,Turkmenistan
163,163,163,163,167,0.0,TCA,Turks and Caicos Islands,0.0,Turks and Caicos Islands,,Turks and Caicos Islands
164,164,164,164,168,35779.0,UGA,Uganda,0.08912471257224149,Uganda,0.08319276714985183,Uganda
165,165,165,165,169,6502.0,UKR,Ukraine,0.01439960097469929,Ukraine,0.007948760436108749,Ukraine
166,166,166,166,170,421.0,ARE,United Arab Emirates,0.0045989306448487284,United Arab Emirates,-0.02331995729404769,United Arab Emirates
167,167,167,167,171,45870.0,GBR,United Kingdom,0.07042960570122668,United Kingdom,0.03846464550218382,United Kingdom
168,168,168,168,172,2150.0,TZA,Tanzania,0.003990352108113228,Tanzania,-0.0020129555231813232,Tanzania
169,169,169,169,173,286168.0,USA,United States,0.08913784684523217,United States,0.05525401074530322,United States
170,170,170,170,174,79.0,URY,Uruguay,0.0023021653176172182,Uruguay,-0.0037070789267665827,Uruguay
171,171,171,171,175,0.0,UZB,Uzbekistan,0.0,Uzbekistan,-0.0063066375364693285,Uzbekistan
172,172,172,172,176,1.0,VUT,Vanuatu,0.00037792466449737913,Vanuatu,-0.005653555133210816,Vanuatu
173,173,173,173,177,235.0,VEN,"Venezuela, RB",0.0007542898066174263,"Venezuela, RB",,"Venezuela, RB"
174,174,174,174,178,0.0,VNM,Vietnam,0.0,Vietnam,-0.006293118191125391,Vietnam
175,175,175,175,179,9866.0,YEM,"Yemen, Rep.",0.03665449593250639,"Yemen, Rep.",0.03059999541348063,"Yemen, Rep."
176,176,176,176,180,2411.0,ZMB,Zambia,0.014974609310828231,Zambia,0.008867303931112722,Zambia
177,177,177,177,181,259.0,ZWE,Zimbabwe,0.0016415832950455686,Zimbabwe,-0.0043359301167724025,Zimbabwe
