,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,refugees,country_code,country_x,refugees_pct_pop,country_y,refugees_pct_pop_resid,country
142,142,142,146,3.0,SLB,Solomon Islands,0.0005106539434399692,Solomon Islands,-0.1261547890133821,Solomon Islands
143,143,143,147,8081.0,SOM,Somalia,0.05810271101166808,Somalia,,Somalia
144,144,144,148,121645.0,ZAF,South Africa,0.2200077860456157,South Africa,0.15518603515727286,South Africa
145,145,145,149,263016.0,SSD,South Sudan,2.213541403666816,South Sudan,2.0837924649790995,South Sudan
146,146,146,150,6457.0,ESP,Spain,0.013902515569439458,Spain,-0.11492458819971164,Spain
147,147,147,151,784.0,LKA,Sri Lanka,0.0037393875798912533,Sri Lanka,-0.05753354055278724,Sri Lanka
148,148,148,152,309639.0,SDN,Sudan,0.8011813763385205,Sudan,0.696751655380305,Sudan
149,149,149,153,1.0,SUR,Suriname,0.0001807638356639817,Suriname,-0.06936061809562627,Suriname
150,150,150,154,696.0,SWZ,Eswatini,0.052766807858312025,Eswatini,-0.021023262166260416,Eswatini
151,151,151,155,169520.0,SWE,Sweden,1.7299396092695862,Sweden,1.5929206274338092,Sweden
152,152,152,156,73336.0,CHE,Switzerland,0.8854442603323965,Switzerland,0.7723901186246054,Switzerland
153,153,153,157,21113.0,SYR,Syrian Arab Republic,0.11269289911970586,Syrian Arab Republic,,Syrian Arab Republic
154,154,154,158,1969.0,TJK,Tajikistan,0.023032873841732457,Tajikistan,-0.09824971143015956,Tajikistan
155,155,155,159,108261.0,THA,Thailand,0.15768247069515975,Thailand,0.08638874139844371,Thailand
156,156,156,160,701.0,MKD,"Macedonia, FYR",0.03371313917899608,"Macedonia, FYR",-0.03235977720605657,"Macedonia, FYR"
157,157,157,161,0.0,TLS,Timor-Leste,0.0,Timor-Leste,-0.07666617352547851,Timor-Leste
158,158,158,162,21953.0,TGO,Togo,0.2959901046300009,Togo,0.16130828365042293,Togo
159,159,159,163,113.0,TTO,Trinidad and Tobago,0.008308261499957356,Trinidad and Tobago,-0.11664567222943735,Trinidad and Tobago
160,160,160,164,665.0,TUN,Tunisia,0.005898704954850071,Tunisia,-0.054277130376667315,Tunisia
161,161,161,165,2541352.0,TUR,Turkey,3.246843243218933,Turkey,3.165525158430525,Turkey
162,162,162,166,26.0,TKM,Turkmenistan,0.0004671819084165336,Turkmenistan,-0.07010748776956563,Turkmenistan
163,163,163,167,4.0,TCA,Turks and Caicos Islands,0.011648562858557324,Turks and Caicos Islands,,Turks and Caicos Islands
164,164,164,168,477187.0,UGA,Uganda,1.1886624617292318,Uganda,1.056512332469283,Uganda
165,165,165,169,3273.0,UKR,Ukraine,0.00724852260691953,Ukraine,-0.06888071283803224,Ukraine
166,166,166,170,663.0,ARE,United Arab Emirates,0.007242496478704765,United Arab Emirates,-0.09781157501516316,United Arab Emirates
167,167,167,171,123067.0,GBR,United Kingdom,0.18895923882347648,United Kingdom,0.04715715396785014,United Kingdom
168,168,168,172,211845.0,TZA,Tanzania,0.3931796010898821,Tanzania,0.27027727388618594,Tanzania
169,169,169,173,273202.0,USA,United States,0.08509909575428114,United States,-0.03654966635795295,United States
170,170,170,174,301.0,URY,Uruguay,0.008771541273452945,Uruguay,-0.06670872129707289,Uruguay
171,171,171,175,107.0,UZB,Uzbekistan,0.0003418650495704322,Uzbekistan,-0.0909110693628486,Uzbekistan
172,172,172,176,0.0,VUT,Vanuatu,0.0,Vanuatu,-0.11950367656999356,Vanuatu
173,173,173,177,173754.0,VEN,"Venezuela, RB",0.5577058342936352,"Venezuela, RB",,"Venezuela, RB"
174,174,174,178,0.0,VNM,Vietnam,0.0,Vietnam,-0.09256700580273212,Vietnam
175,175,175,179,267173.0,YEM,"Yemen, Rep.",0.9926101400542804,"Yemen, Rep.",0.8757842984417565,"Yemen, Rep."
176,176,176,180,26447.0,ZMB,Zambia,0.16426109184714818,Zambia,0.05326341266438457,Zambia
177,177,177,181,6950.0,ZWE,Zimbabwe,0.04405020811029614,Zimbabwe,-0.08208498719383736,Zimbabwe
