,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,asylum_seekers,country_code,country_x,asylum_seekers_pct_pop,country_y,country
157,157,157,161,0.0,TLS,Timor-Leste,0.0,Timor-Leste,Timor-Leste
158,158,158,162,752.0,TGO,Togo,0.01013914083185718,Togo,Togo
159,159,159,163,82.0,TTO,Trinidad and Tobago,0.006029003920323036,Trinidad and Tobago,Trinidad and Tobago
160,160,160,164,90.0,TUN,Tunisia,0.0007983209713330922,Tunisia,Tunisia
161,161,161,165,212408.0,TUR,Turkey,0.2713734577522702,Turkey,Turkey
162,162,162,166,0.0,TKM,Turkmenistan,0.0,Turkmenistan,Turkmenistan
163,163,163,167,0.0,TCA,Turks and Caicos Islands,0.0,Turks and Caicos Islands,Turks and Caicos Islands
164,164,164,168,35779.0,UGA,Uganda,0.08912471257224149,Uganda,Uganda
165,165,165,169,6502.0,UKR,Ukraine,0.01439960097469929,Ukraine,Ukraine
166,166,166,170,421.0,ARE,United Arab Emirates,0.0045989306448487284,United Arab Emirates,United Arab Emirates
167,167,167,171,45870.0,GBR,United Kingdom,0.07042960570122668,United Kingdom,United Kingdom
168,168,168,172,2150.0,TZA,Tanzania,0.003990352108113228,Tanzania,Tanzania
169,169,169,173,286168.0,USA,United States,0.08913784684523217,United States,United States
170,170,170,174,79.0,URY,Uruguay,0.0023021653176172182,Uruguay,Uruguay
171,171,171,175,0.0,UZB,Uzbekistan,0.0,Uzbekistan,Uzbekistan
172,172,172,176,1.0,VUT,Vanuatu,0.00037792466449737913,Vanuatu,Vanuatu
173,173,173,177,235.0,VEN,"Venezuela, RB",0.0007542898066174263,"Venezuela, RB","Venezuela, RB"
174,174,174,178,0.0,VNM,Vietnam,0.0,Vietnam,Vietnam
175,175,175,179,9866.0,YEM,"Yemen, Rep.",0.03665449593250639,"Yemen, Rep.","Yemen, Rep."
176,176,176,180,2411.0,ZMB,Zambia,0.014974609310828231,Zambia,Zambia
177,177,177,181,259.0,ZWE,Zimbabwe,0.0016415832950455686,Zimbabwe,Zimbabwe
