Country Rank,Country/Territory,country_code,Region,ti_cpi,Number of Surveys Used,Std Error,Min,Max,90% Lower CI,90%Upper CI,World Bank CPIA,World  Economic Forum EOS,Bertelsmann  Foundation TI,Arican Development Bank,IMD World Competitiveness Year Book,Bertelsmann Foundation SGI,World Justice Project ROL,PRS Internationl Country Risk Guide,Economist Intelligence Unit,IHS Global Insight,PERC Asia Risk Guide,Freedom House NIT
88,Indonesia,IDN,Err:507,36,8,3.39,17,50,30,42,,43,36,,37,,17,50,38,32,32,
88,Morocco,MAR,Err:507,36,6,3.85,22,47,30,42,,47,28,,,,22,41,38,42,,
88,Peru,PER,Err:507,36,7,3.05,24,45,31,41,,44,45,,30,,24,31,38,42,,
88,Suriname,SUR,Err:507,36,3,3.21,31,42,31,41,,35,,,,,,31,,42,,
95,Armenia,ARM,Err:507,35,5,2.98,28,45,30,40,,45,28,,,,,31,,32,,37
95,Mali,MLI,Err:507,35,6,1.89,31,42,32,38,35,32,32,40,,,,31,,42,,
95,Philippines,PHL,Err:507,35,8,1.92,23,41,32,38,,36,36,,33,,23,41,38,32,37,
98,Bolivia,BOL,Err:507,34,7,3.58,20,47,28,40,47,25,36,,,,20,31,38,42,,
98,Djibouti,DJI,Err:507,34,3,9.07,23,52,19,49,23,,,27,,,,,,52,,
98,Gabon,GAB,Err:507,34,4,1.65,31,38,31,37,,36,,,,,,31,38,32,,
98,Niger,NER,Err:507,34,5,4.16,21,47,27,41,35,,36,47,,,,21,,32,,
102,Dominican Republic,DOM,Err:507,33,6,2.63,24,42,29,37,,29,32,,,,24,31,38,42,,
102,Ethiopia,ETH,Err:507,33,8,2.73,22,42,29,37,35,42,23,42,,,32,31,38,22,,
102,Kosovo,LWI,Err:507,33,3,2.19,29,36,29,37,35,,36,,,,,,,,,29
102,Moldova,MDA,Err:507,33,8,2.88,16,42,28,38,35,30,40,,,,16,31,38,42,,31
106,Argentina,ARG,Err:507,32,7,1.84,25,38,29,35,,28,36,,25,,37,31,38,32,,
106,Belarus,BLR,Err:507,32,6,4.37,21,52,25,39,,,28,,,,52,31,21,32,,26
106,Côte d´Ivoire,CIV,Err:507,32,8,2.65,22,46,28,36,35,46,28,32,,,26,31,38,22,,
106,Ecuador,ECU,Err:507,32,6,2.86,21,43,27,37,,43,32,,,,30,31,21,32,,
106,Togo,TGO,Err:507,32,5,3.04,23,42,27,37,23,,32,30,,,,31,,42,,
111,Honduras,HND,Err:507,31,7,4.12,17,45,24,38,35,45,36,,,,17,41,21,22,,
111,Malawi,MWI,Err:507,31,8,2.41,21,42,27,35,23,32,36,42,,,27,31,21,32,,
111,Mauritania,MRT,Err:507,31,5,5.07,12,42,23,39,35,12,32,35,,,,,,42,,
111,Mexico,MEX,Err:507,31,8,3.02,20,42,26,36,,33,28,,28,41,20,21,38,42,,
111,Mozambique,MOZ,Err:507,31,7,1.97,22,38,28,34,35,28,28,22,,,,31,38,32,,
111,Vietnam,VNM,Err:507,31,8,2.56,21,41,27,35,35,37,28,,,,36,41,21,22,31,
117,Pakistan,PAK,Err:507,30,7,3.12,19,42,25,35,23,34,19,,,,26,31,38,42,,
117,Tanzania,TZA,Err:507,30,8,3.49,11,42,24,36,35,31,32,42,,,21,31,38,11,,
119,Azerbaijan,AZE,Err:507,29,6,3.25,21,38,24,34,,37,23,,,,,21,38,32,,21
119,Guyana,GUY,Err:507,29,4,3.01,21,35,24,34,35,29,,,,,,21,,32,,
119,Russia,RUS,Err:507,29,8,2.52,21,38,25,33,,38,28,,33,,28,21,38,22,,21
119,Sierra Leone,SLE,Err:507,29,8,3.44,14,40,23,35,35,20,40,40,,,14,31,21,32,,
123,Gambia,GMB,Err:507,28,5,6.67,12,49,17,39,12,49,,15,,,,31,,32,,
123,Guatemala,GTM,Err:507,28,6,3.46,15,38,22,34,,38,32,,,,15,31,21,32,,
123,Kazakhstan,KAZ,Err:507,28,8,4.90,11,51,20,36,,51,19,,46,,28,21,21,11,,23
123,Kyrgyzstan,KGZ,Err:507,28,6,2.29,20,35,24,32,35,25,32,,,,20,,,32,,26
123,Lebanon,LBN,Err:507,28,6,3.22,19,38,23,33,,35,19,,,,24,21,38,32,,
123,Madagascar,MDG,Err:507,28,7,2.99,20,42,23,33,23,29,32,20,,,20,31,,42,,
123,Timor-Leste,TLS,Err:507,28,3,5.17,22,38,20,36,23,38,,,,,,,,22,,
130,Cameroon,CMR,Err:507,27,8,3.26,14,45,22,32,23,30,28,45,,,14,31,21,22,,
130,Iran,IRN,Err:507,27,6,3.28,21,41,22,32,,41,23,,,,31,21,21,22,,
130,Nepal,NPL,Err:507,27,5,2.73,22,35,23,31,35,33,23,,,,24,,,22,,
130,Nicaragua,NIC,Err:507,27,7,2.50,19,35,23,31,35,33,28,,,,19,21,21,32,,
130,Paraguay,PRY,Err:507,27,5,2.85,21,36,22,32,,25,36,,,,,31,21,22,,
130,Ukraine,UKR,Err:507,27,8,1.93,21,36,24,30,,28,36,,26,,22,21,21,32,,29
136,Comoros,COM,Err:507,26,3,8.76,12,42,12,40,23,,,12,,,,,,42,,
136,Nigeria,NGA,Err:507,26,8,2.24,19,35,22,30,35,25,28,35,,,19,21,21,22,,
136,Tajikistan,TJK,Err:507,26,5,7.36,11,53,14,38,23,53,15,,,,,,,11,,26
139,Bangladesh,BGD,Err:507,25,7,4.30,16,50,18,32,23,19,23,,,,16,50,21,22,,
139,Guinea,GIN,Err:507,25,6,3.16,15,36,20,30,23,15,36,32,,,,21,,22,,
139,Kenya,KEN,Err:507,25,8,3.02,11,35,20,30,35,30,28,35,,,18,21,21,11,,
139,Laos,LAO,Err:507,25,4,5.31,15,40,16,34,23,40,15,,,,,,,22,,
139,Papua New Guinea,PNG,Err:507,25,5,4.22,11,35,18,32,35,,28,,,,,31,21,11,,
139,Uganda,UGA,Err:507,25,8,3.19,12,38,20,30,12,28,32,32,,,15,21,38,22,,
145,Central African Republic,CAF,Err:507,24,4,1.44,22,28,22,26,23,,28,22,,,,,,22,,
146,Congo Republic,COG,Err:507,23,6,4.11,12,42,16,30,12,,19,42,,,,21,21,22,,
147,Chad,TCD,Err:507,22,5,2.35,16,30,18,26,23,16,19,30,,,,,,22,,
147,Democratic Republic of the Congo,COD,Err:507,22,6,3.35,12,37,17,27,12,,19,37,,,,21,21,22,,
147,Myanmar,MMR,Err:507,22,7,2.82,11,35,17,27,35,27,19,,,,19,21,21,11,,
150,Burundi,BDI,Err:507,21,5,2.94,11,28,16,26,23,28,19,25,,,,,,11,,
150,Cambodia,KHM,Err:507,21,7,3.87,10,35,15,27,12,35,15,,,,10,,21,22,35,
150,Zimbabwe,ZWE,Err:507,21,8,4.54,0,38,14,28,0,38,15,17,,,23,12,38,22,,
153,Uzbekistan,UZB,Err:507,19,6,2.71,11,29,15,23,12,,19,,,,29,,21,11,,21
154,Eritrea,ERI,Err:507,18,4,8.15,7,42,5,31,12,,10,7,,,,,,42,,
154,Syria,SYR,Err:507,18,4,5.66,6,32,9,27,,,6,,,,,12,21,32,,
154,Turkmenistan,TKM,Err:507,18,4,2.38,11,21,14,22,,,19,,,,,,21,11,,21
154,Yemen,YEM,Err:507,18,6,2.66,12,28,14,22,12,14,28,,,,,12,21,22,,
158,Guinea-Bissau,GNB,Err:507,17,4,2.63,12,22,13,21,12,,,20,,,,12,,22,,
158,Haiti,HTI,Err:507,17,5,2.74,11,24,13,21,23,24,15,,,,,12,,11,,
158,Venezuela,VEN,Err:507,17,7,2.64,5,25,13,21,,21,15,,25,,5,12,21,22,,
161,Iraq,IRQ,Err:507,16,4,2.50,11,21,12,20,,,19,,,,,12,21,11,,
161,Libya,LBY,Err:507,16,5,3.18,10,26,11,21,,26,10,,,,,12,21,11,,
163,Angola,AGO,Err:507,15,5,1.80,11,21,12,18,,17,15,,,,,12,21,11,,
163,South Sudan,SSD,SSA,15,3,1.45,12,17,13,17,12,,15,17,,,,,,,,
165,Sudan,SDN,Err:507,12,6,3.64,0,21,6,18,0,,15,20,,,,2,21,11,,
166,Afghanistan,AFG,Err:507,11,4,3.49,2,19,5,17,12,,19,,,,2,,,11,,
167,Korea (North),PRK,Err:507,8,3,3.38,1,12,2,14,,,10,,,,,12,,1,,
167,Somalia,SOM,Err:507,8,4,2.32,2,12,4,12,,,6,2,,,,12,,11,,
